Date, Open, High, Low, Close
10/08/10, 10948.50, 11032.17, 10929.28, 11006.48
10/07/10, 10968.41, 10998.53, 10892.76, 10948.58
10/06/10, 10936.79, 10974.16, 10918.57, 10967.65
10/05/10, 10752.78, 10965.61, 10752.63, 10944.72
10/04/10, 10828.85, 10853.71, 10711.12, 10751.27
10/01/10, 10789.72, 10866.54, 10780.64, 10829.68
09/30/10, 10836.04, 10948.88, 10745.44, 10788.05
09/29/10, 10857.98, 10869.26, 10798.88, 10835.28
09/28/10, 10809.17, 10886.21, 10728.64, 10858.14
09/27/10, 10860.03, 10873.20, 10809.62, 10812.04
09/24/10, 10664.39, 10865.78, 10664.31, 10860.26
09/23/10, 10738.48, 10761.94, 10640.92, 10662.42
09/22/10, 10761.11, 10805.38, 10708.40, 10739.31
09/21/10, 10753.39, 10833.39, 10717.74, 10761.03
09/20/10, 10608.08, 10774.13, 10608.08, 10753.62
09/17/10, 10595.51, 10650.16, 10567.36, 10607.85
09/16/10, 10571.75, 10603.69, 10522.48, 10594.83
09/15/10, 10526.42, 10587.80, 10480.78, 10572.73
09/14/10, 10544.73, 10588.32, 10499.70, 10526.49
09/13/10, 10458.60, 10567.59, 10458.60, 10544.13
09/10/10, 10415.01, 10471.28, 10403.17, 10462.77
09/09/10, 10388.14, 10476.62, 10386.63, 10415.24
09/08/10, 10338.49, 10426.70, 10335.69, 10387.01
09/07/10, 10446.80, 10446.80, 10332.40, 10340.69
09/03/10, 10321.92, 10451.15, 10321.84, 10447.93
09/02/10, 10270.08, 10320.37, 10253.96, 10320.10
09/01/10, 10016.01, 10279.08, 10016.01, 10269.47
08/31/10, 10006.42, 10073.38, 9941.84, 10014.72
08/30/10, 10145.58, 10150.57, 10007.68, 10009.73
08/27/10, 9982.18, 10159.88, 9936.62, 10150.65
08/26/10, 10059.90, 10104.71, 9968.10, 9985.81
08/25/10, 10040.15, 10097.40, 9937.98, 10060.06
08/24/10, 10173.05, 10173.05, 9991.18, 10040.45
08/23/10, 10215.51, 10304.70, 10170.29, 10174.41
08/20/10, 10270.98, 10270.98, 10147.24, 10213.62
08/19/10, 10411.15, 10411.15, 10216.19, 10271.21
08/18/10, 10398.59, 10472.30, 10330.02, 10415.54
08/17/10, 10297.63, 10480.44, 10297.47, 10405.85
08/16/10, 10303.07, 10333.12, 10209.53, 10302.01
08/13/10, 10320.33, 10354.92, 10285.44, 10303.15
08/12/10, 10361.58, 10361.65, 10268.71, 10319.95
08/11/10, 10631.82, 10631.90, 10367.33, 10378.83
08/10/10, 10696.63, 10700.71, 10551.62, 10644.25
08/09/10, 10654.62, 10719.94, 10649.40, 10698.75
08/06/10, 10668.55, 10668.70, 10515.37, 10653.56
08/05/10, 10679.67, 10679.75, 10612.85, 10674.98
08/04/10, 10630.20, 10702.99, 10627.53, 10680.43
08/03/10, 10673.92, 10676.95, 10600.96, 10636.38
08/02/10, 10468.82, 10692.20, 10468.59, 10674.38
07/30/10, 10465.19, 10507.19, 10347.50, 10465.94
07/29/10, 10498.94, 10584.99, 10387.39, 10467.16
07/28/10, 10537.01, 10548.52, 10463.22, 10497.88
07/27/10, 10525.28, 10578.33, 10494.86, 10537.69
07/26/10, 10424.17, 10526.79, 10414.40, 10525.43
07/23/10, 10321.16, 10441.95, 10287.48, 10424.62
07/22/10, 10121.81, 10363.24, 10121.81, 10322.30
07/21/10, 10226.02, 10265.54, 10065.50, 10120.53
07/20/10, 10151.48, 10236.40, 10007.76, 10229.96
07/19/10, 10098.12, 10187.28, 10073.68, 10154.43
07/16/10, 10356.20, 10356.20, 10079.58, 10097.90
07/15/10, 10367.10, 10379.74, 10240.48, 10359.31
07/14/10, 10370.96, 10400.10, 10303.00, 10366.72
07/13/10, 10217.55, 10407.82, 10217.55, 10363.02
07/12/10, 10199.24, 10220.28, 10146.49, 10216.27
07/09/10, 10137.93, 10201.77, 10118.41, 10198.03
07/08/10, 10019.26, 10139.86, 10019.26, 10138.99
07/07/10, 9736.85, 10026.60, 9736.70, 10018.28
07/06/10, 9689.21, 9858.13, 9659.01, 9743.62
07/02/10, 9732.23, 9770.87, 9614.32, 9686.48
07/01/10, 9773.27, 9795.48, 9621.89, 9732.53
06/30/10, 9868.34, 9908.92, 9753.84, 9774.02
06/29/10, 10135.72, 10135.80, 9811.92, 9870.30
06/28/10, 10143.05, 10201.93, 10101.41, 10138.52
06/25/10, 10153.48, 10202.91, 10081.08, 10143.81
06/24/10, 10297.08, 10298.06, 10128.85, 10152.80
06/23/10, 10293.30, 10368.04, 10227.24, 10298.44
06/22/10, 10441.95, 10493.57, 10283.40, 10293.52
06/21/10, 10452.46, 10594.16, 10395.55, 10442.41
06/18/10, 10435.00, 10483.44, 10424.49, 10450.64
06/17/10, 10409.98, 10441.20, 10319.22, 10434.17
06/16/10, 10404.24, 10429.03, 10332.60, 10409.46
06/15/10, 10192.40, 10408.32, 10192.40, 10404.77
06/14/10, 10211.83, 10328.67, 10186.21, 10190.89
06/11/10, 10166.78, 10215.98, 10082.71, 10211.07
06/10/10, 9901.67, 10185.83, 9901.67, 10172.53
06/09/10, 9941.57, 10065.14, 9867.73, 9899.25
06/08/10, 9812.94, 9953.66, 9757.55, 9939.98
06/07/10, 9931.75, 9982.38, 9810.30, 9816.49
06/04/10, 10249.61, 10249.69, 9889.88, 9931.97
06/03/10, 10250.67, 10315.21, 10175.02, 10255.28
06/02/10, 10025.61, 10254.22, 10025.61, 10249.54
06/01/10, 10133.94, 10218.33, 10013.90, 10024.02
05/28/10, 10258.00, 10258.00, 10095.90, 10136.63
05/27/10, 9971.73, 10264.20, 9971.73, 10258.99
05/26/10, 10045.11, 10179.03, 9952.68, 9974.45
05/25/10, 10061.43, 10061.66, 9774.48, 10043.75
05/24/10, 10193.46, 10196.41, 10052.67, 10066.57
05/21/10, 10063.93, 10198.53, 9918.82, 10193.39
05/20/10, 10440.21, 10440.21, 10065.36, 10068.01
05/19/10, 10505.70, 10522.52, 10324.66, 10444.37
05/18/10, 10625.45, 10718.86, 10482.20, 10510.95
05/17/10, 10616.98, 10660.97, 10436.06, 10625.83
05/14/10, 10780.68, 10780.75, 10537.25, 10620.16
05/13/10, 10896.61, 10920.27, 10771.69, 10782.95
05/12/10, 10742.15, 10909.08, 10742.15, 10896.91
05/11/10, 10780.00, 10874.54, 10685.38, 10748.26
05/10/10, 10386.18, 10835.17, 10386.03, 10785.14
05/07/10, 10519.42, 10579.12, 10241.23, 10380.43
05/06/10, 10862.22, 10879.76, 9869.62, 10520.32
05/05/10, 10918.40, 10946.79, 10814.84, 10868.12
05/04/10, 11149.48, 11149.48, 10869.25, 10926.77
05/03/10, 11009.60, 11177.67, 11009.60, 11151.83
04/30/10, 11168.23, 11197.93, 10999.69, 11008.61
04/29/10, 11045.64, 11197.32, 11041.64, 11167.32
04/28/10, 10988.87, 11078.52, 10965.38, 11045.27
04/27/10, 11203.67, 11218.86, 10973.17, 10991.99
04/26/10, 11205.11, 11258.01, 11187.65, 11205.03
04/23/10, 11132.18, 11205.64, 11105.65, 11204.28
04/22/10, 11119.78, 11149.86, 11016.40, 11134.29
